"","Destination","cd_lod_type","Source","Ms_Yr","Ms_Per","weightTon","transport_type"
"80","CIABJ","5","ESSVQ",2022,6,6621.29,"MAR"
"81","GBSOU","3","COTRB",2022,8,7813,"MAR"
"82","GBSOU","6","DKNAK",2020,9,6785.56,"MAR"
"83","GBSSS","9","GBSOU",2019,2,8002.49,"MAR"
"84","USNNS","1","CMDLA",2022,9,8286.2,"MAR"
"85","BEANR","9","ESSVQ",2019,4,2929.99,"MAR"
"86","GBSOU","3","GBSSS",2020,3,1379.04,"MAR"
"87","GBLOW","6","GBSOU",2019,11,2084.13,"MAR"
"88","BEANR","3","BEANR",2021,7,9640.8,"MAR"
"89","GBLOW","1","DKNAK",2022,10,2095.32,"MAR"
"90","ESSVQ","6","COTRB",2019,2,9738.43,"MAR"
"91","DOMAN","6","CMDLA",2022,1,2734.91,"MAR"
"92","DKNAK","5","CMDLA",2019,1,6194.27,"MAR"
"93","GBSOU","5","CRMOB",2018,8,5267.31,"MAR"
"94","USNNS","3","CMDLA",2021,12,6045.48,"MAR"
"95","SEYST","1","BEANR",2021,7,1437.25,"MAR"
"96","CMDLA","2","SEYST",2020,9,6814.56,"MAR"
"97","ESSVQ","9","GBSOU",2019,4,7497.24,"MAR"
"98","GBSOU","6","GBSSS",2019,6,1571.1,"MAR"
"99","CMDLA","2","ESSVQ",2019,9,4416.05,"MAR"
"100","ARSPD","1","ESSVQ",2022,12,2667.24,"MAR"
"101","CMDLA","2","CIABJ",2020,7,3481.24,"MAR"
"102","GBSSS","6","ESSVQ",2019,8,8497.06,"MAR"
"103","SEYST","2","GBLOW",2022,8,9001.1,"MAR"
"104","CIABJ","2","USNNS",2022,3,6682.61,"MAR"
"105","ARSPD","6","GHTEM",2019,3,2090.59,"MAR"
"106","CRMOB","3","CIABJ",2019,12,111.98,"MAR"
"107","USNNS","6","GHTEM",2018,4,4971.04,"MAR"
"108","CMDLA","2","CIABJ",2022,1,4785.38,"MAR"
"109","ARSPD","9","BEANR",2020,4,2349.34,"MAR"
"110","ARSPD","9","DOMAN",2021,8,1299.32,"MAR"
"111","SEYST","6","CIABJ",2020,9,8522.61,"MAR"
"112","ARSPD","6","COTRB",2021,12,3582.16,"MAR"
"113","DOMAN","2","GBLOW",2022,8,7119.05,"MAR"
"114","GBSSS","6","COTRB",2020,10,2106.75,"MAR"
"115","SEYST","2","CIABJ",2022,1,1394.85,"MAR"
"116","GBSSS","5","CRMOB",2021,7,3364.95,"MAR"
"117","GBSOU","2","CIABJ",2018,1,7554.08,"MAR"
"118","GHTEM","3","DOMAN",2021,11,3187.09,"MAR"
"119","USNNS","3","USNNS",2018,10,1598.5,"MAR"
"120","DKNAK","5","GBSOU",2019,4,2883.24,"MAR"
"121","DKNAK","6","ESSVQ",2020,11,450.18,"MAR"
"122","CIABJ","5","GBSOU",2020,11,1650.91,"MAR"
"123","SEYST","9","GBSOU",2018,9,7479.24,"MAR"
"124","GHTEM","9","COTRB",2022,9,7897.98,"MAR"
"125","GBLOW","1","GBSOU",2019,8,488,"MAR"
"126","GHTEM","6","GHTEM",2018,10,3439.17,"MAR"
"127","CRMOB","2","BEANR",2022,3,3188.89,"MAR"
"128","GBLOW","9","DKNAK",2019,8,9641.78,"MAR"
"129","GHTEM","1","GBSSS",2018,6,8211.23,"MAR"
"130","GBSOU","9","CRMOB",2022,6,721.1,"MAR"
"131","USNNS","1","GHTEM",2021,5,5179.18,"MAR"
"132","CRMOB","6","CMDLA",2019,11,308.73,"MAR"
"133","ESSVQ","2","DOMAN",2018,5,6908.75,"MAR"
"134","ARSPD","9","CRMOB",2020,7,4801.71,"MAR"
"135","BEANR","6","CRMOB",2021,1,8140.49,"MAR"
"136","ARSPD","6","GHTEM",2021,5,3583.93,"MAR"
"137","ARSPD","1","CMDLA",2019,10,7964.31,"MAR"
"138","GBSOU","6","CMDLA",2018,10,2575.6,"MAR"
"139","SEYST","6","DKNAK",2019,9,8585.75,"MAR"
"140","CIABJ","6","COTRB",2022,9,9028.64,"MAR"
"141","ARSPD","6","GBLOW",2022,7,1201.32,"MAR"
"142","SEYST","2","BEANR",2020,4,3773.89,"MAR"
"143","ARSPD","6","GHTEM",2022,2,5384.61,"MAR"
"144","USNNS","1","GBSOU",2021,6,4280.17,"MAR"
"145","CIABJ","3","BEANR",2018,1,2574.26,"MAR"
"146","BEANR","9","GHTEM",2022,12,3803.9,"MAR"
"147","GBSSS","6","DOMAN",2020,2,8079.02,"MAR"
"148","COTRB","2","CMDLA",2021,1,3096.54,"MAR"
"149","GBSSS","6","BEANR",2018,4,2901.67,"MAR"
"150","DOMAN","2","CMDLA",2021,3,8880.55,"MAR"
"151","USNNS","3","USNNS",2018,11,2945.62,"MAR"
"152","GBSSS","5","GBSSS",2020,4,6661.14,"MAR"
"153","GHTEM","9","GBSOU",2020,4,1218.66,"MAR"
"154","GBSOU","3","GHTEM",2020,9,5112.06,"MAR"
"155","ARSPD","2","GHTEM",2019,8,832.3,"MAR"
"156","USNNS","2","CIABJ",2018,6,1108.74,"MAR"
"157","GBSSS","9","COTRB",2019,11,1424.04,"MAR"
"158","COTRB","1","DKNAK",2021,5,4667.38,"MAR"
"159","GHTEM","3","BEANR",2019,10,1454.31,"MAR"
"160","DKNAK","9","GHTEM",2019,9,6985.06,"MAR"
"161","GBSOU","2","GBLOW",2019,4,4078.29,"MAR"
"162","CIABJ","9","USNNS",2022,10,8519.11,"MAR"
"163","DKNAK","9","GBSSS",2018,7,3015.87,"MAR"
"164","GBSSS","1","COTRB",2020,11,4761.3,"MAR"
"165","COTRB","3","CIABJ",2020,2,8805.96,"MAR"
"166","ESSVQ","6","ARSPD",2022,11,7062.59,"MAR"
"167","CRMOB","5","GBLOW",2020,9,6527.54,"MAR"
"168","ARSPD","2","ESSVQ",2022,7,3537.69,"MAR"
"169","CRMOB","1","SEYST",2022,12,5112.36,"MAR"
"170","DOMAN","2","ESSVQ",2020,10,7344.66,"MAR"
"171","SEYST","1","GBLOW",2021,8,7273.9,"MAR"
"172","CMDLA","1","DOMAN",2022,7,1996.02,"MAR"
"173","GBSSS","2","COTRB",2021,10,2750.37,"MAR"
"174","GBSOU","1","SEYST",2019,7,9988.4,"MAR"
"175","GHTEM","5","ARSPD",2021,5,5863.81,"MAR"
"176","CMDLA","2","ESSVQ",2019,8,896.5,"MAR"
"177","GBSSS","1","CIABJ",2021,4,4153.26,"MAR"
"178","GBLOW","6","GHTEM",2018,11,6286.96,"MAR"
"179","DOMAN","2","DOMAN",2019,3,3333.47,"MAR"
"180","SEYST","3","SEYST",2021,10,5514.51,"MAR"
"181","CIABJ","5","GBSOU",2022,11,6428.01,"MAR"
"182","ESSVQ","1","GBSSS",2021,1,2018.62,"MAR"
"183","USNNS","2","COTRB",2020,7,916.13,"MAR"
"184","GBSSS","3","SEYST",2020,10,9258.16,"MAR"
"185","ESSVQ","9","CMDLA",2020,2,5309.13,"MAR"
"186","BEANR","2","SEYST",2019,2,4249.42,"MAR"
"187","CIABJ","3","COTRB",2022,7,4149.01,"MAR"
"188","ARSPD","3","BEANR",2018,7,9401.36,"MAR"
"189","ARSPD","9","DOMAN",2021,10,6191.16,"MAR"
"190","ESSVQ","6","GBLOW",2022,1,3805.09,"MAR"
"191","CMDLA","6","USNNS",2022,8,8661.46,"MAR"
"192","CIABJ","2","GHTEM",2021,12,7948.55,"MAR"
"193","GBSOU","2","CRMOB",2021,7,7347.42,"MAR"
"194","COTRB","3","CRMOB",2020,5,2663.92,"MAR"
"195","ESSVQ","5","ESSVQ",2020,2,3892.68,"MAR"
"196","CIABJ","3","CIABJ",2022,9,2207.94,"MAR"
"197","SEYST","2","GBSSS",2019,4,8780.64,"MAR"
"198","DOMAN","1","DOMAN",2018,1,9263.32,"MAR"
"199","ESSVQ","9","COTRB",2019,5,9031.79,"MAR"
"200","ESSVQ","3","GBSOU",2020,8,175.11,"MAR"
"201","CRMOB","6","ESSVQ",2020,2,6199.76,"MAR"
"202","GBSOU","5","ARSPD",2018,10,6640.42,"MAR"
"203","BEANR","6","GBLOW",2019,9,7941.4,"MAR"
"204","GHTEM","2","ARSPD",2022,2,8680.19,"MAR"
"205","COTRB","1","ARSPD",2019,1,4216.24,"MAR"
"206","ESSVQ","1","GBSOU",2021,2,6324.93,"MAR"
"207","COTRB","9","CRMOB",2018,9,4494.71,"MAR"
"208","CMDLA","2","GHTEM",2018,3,6141.47,"MAR"
"209","GBSSS","1","ESSVQ",2022,2,8975.54,"MAR"
"210","CIABJ","1","CRMOB",2021,1,6639.24,"MAR"
"211","ARSPD","5","CRMOB",2022,3,6811.01,"MAR"
"212","DKNAK","3","GBSSS",2022,5,1430.11,"MAR"
"213","DOMAN","9","DKNAK",2021,8,256.57,"MAR"
"214","GBLOW","1","COTRB",2018,2,5120.43,"MAR"
"215","COTRB","2","BEANR",2020,6,4595.08,"MAR"
"216","DOMAN","2","COTRB",2020,7,7949.91,"MAR"
"217","ARSPD","2","GBSOU",2018,3,5831.15,"MAR"
"218","GBSOU","9","GBLOW",2022,4,1122.07,"MAR"
"219","CMDLA","1","GBSOU",2022,1,6192.13,"MAR"
"220","CIABJ","6","CRMOB",2022,9,5300.33,"MAR"
"221","CRMOB","6","BEANR",2020,11,5741.62,"MAR"
"222","GHTEM","1","DKNAK",2018,8,1108.95,"MAR"
"223","ESSVQ","3","CRMOB",2018,9,4495.48,"MAR"
"224","DOMAN","6","DKNAK",2021,7,8046.62,"MAR"
"225","DOMAN","1","COTRB",2018,11,931.25,"MAR"
"226","ARSPD","6","GBSOU",2018,8,9477.98,"MAR"
"227","DKNAK","5","GBLOW",2019,7,1968.3,"MAR"
"228","GBSSS","6","GBSSS",2018,3,5153.04,"MAR"
"229","DOMAN","3","BEANR",2018,4,1057.79,"MAR"
"230","BEANR","2","COTRB",2022,10,7268.84,"MAR"
"231","CIABJ","3","SEYST",2020,12,2149.27,"MAR"
"232","CIABJ","5","GHTEM",2020,3,5265.16,"MAR"
"233","GHTEM","3","CMDLA",2021,6,7206.34,"MAR"
"234","CMDLA","2","SEYST",2018,2,9332.34,"MAR"
"235","CIABJ","1","CRMOB",2020,3,1103.53,"MAR"
"236","GBLOW","9","GBSSS",2020,12,5397.76,"MAR"
"237","DOMAN","3","SEYST",2022,10,6701.7,"MAR"
"238","DKNAK","5","GBLOW",2020,3,1113.57,"MAR"
"239","CMDLA","3","CMDLA",2019,3,295.47,"MAR"
"240","GBSSS","9","GHTEM",2020,11,4387.15,"MAR"
"241","GBSSS","5","DKNAK",2021,3,2497.5,"MAR"
"242","GHTEM","1","GHTEM",2022,8,6416.41,"MAR"
"243","DOMAN","3","GBSSS",2020,6,5685.56,"MAR"
"244","CRMOB","5","DKNAK",2018,12,9675.22,"MAR"
"245","GHTEM","2","COTRB",2018,6,1042.5,"MAR"
"246","CIABJ","1","COTRB",2022,8,3993.4,"MAR"
"247","USNNS","5","DOMAN",2022,4,5611.92,"MAR"
"248","GBSOU","1","GBSSS",2021,11,5684.63,"MAR"
"249","GBSSS","2","GBSSS",2020,8,1887.89,"MAR"
"250","GHTEM","9","BEANR",2019,11,5334.79,"MAR"
"251","COTRB","3","CIABJ",2022,3,4455.42,"MAR"
"252","BEANR","1","CRMOB",2019,1,1740.42,"MAR"
"253","CMDLA","2","USNNS",2020,2,8217.13,"MAR"
"254","DOMAN","9","ARSPD",2019,12,8006.57,"MAR"
"255","DOMAN","6","COTRB",2019,5,1992.14,"MAR"
"256","SEYST","6","GBSSS",2018,10,2161.56,"MAR"
"257","GHTEM","3","DKNAK",2019,5,7656.99,"MAR"
"258","DKNAK","2","USNNS",2021,6,9844.69,"MAR"
"259","GBSOU","3","SEYST",2018,12,1681.32,"MAR"
"260","DOMAN","5","CRMOB",2021,9,5842.65,"MAR"
"261","COTRB","6","COTRB",2020,2,8244.37,"MAR"
"262","COTRB","2","ESSVQ",2021,11,5252.08,"MAR"
"263","CMDLA","6","GBLOW",2019,4,2707.36,"MAR"
"264","ESSVQ","3","USNNS",2021,3,5956.24,"MAR"
"265","GHTEM","1","ESSVQ",2021,3,2113.96,"MAR"
"266","GBSSS","1","CMDLA",2018,11,8579.25,"MAR"
"267","CMDLA","2","CRMOB",2020,8,5787.41,"MAR"
"268","GBSSS","3","DKNAK",2019,1,4517.08,"MAR"
"269","GHTEM","1","BEANR",2020,6,8405.39,"MAR"
"270","ESSVQ","1","DOMAN",2020,3,1807.4,"MAR"
"271","DOMAN","1","CIABJ",2020,8,9534.86,"MAR"
"272","CIABJ","5","COTRB",2019,6,484.58,"MAR"
"273","CMDLA","6","CMDLA",2019,6,4400.61,"MAR"
"274","CMDLA","1","CMDLA",2020,11,3115.21,"MAR"
"275","CMDLA","6","COTRB",2022,6,3730.04,"MAR"
"276","DKNAK","6","CIABJ",2018,12,42.56,"MAR"
"277","GBSSS","6","GBSSS",2020,12,3849.9,"MAR"
"278","ARSPD","3","GHTEM",2018,3,4212.1,"MAR"
"279","ARSPD","9","DOMAN",2022,5,1742.79,"MAR"
"280","GBSOU","2","DKNAK",2018,10,1733.95,"MAR"
"281","COTRB","5","USNNS",2021,4,8445.75,"MAR"
"282","BEANR","6","DOMAN",2018,5,4832.72,"MAR"
"283","GHTEM","5","BEANR",2019,5,5751.16,"MAR"
"284","GHTEM","2","CRMOB",2021,8,8620.43,"MAR"
"285","BEANR","2","CRMOB",2022,1,2425.07,"MAR"
"286","GHTEM","3","USNNS",2019,4,2985.52,"MAR"
"287","BEANR","5","CMDLA",2021,8,9319.67,"MAR"
"288","DOMAN","6","DOMAN",2018,6,7836.84,"MAR"
"289","GHTEM","1","COTRB",2022,1,6876.06,"MAR"
"290","COTRB","1","DOMAN",2018,8,23.98,"MAR"
"291","DKNAK","3","CRMOB",2019,4,3391.26,"MAR"
"292","GBSSS","3","BEANR",2018,7,8971.45,"MAR"
"293","CRMOB","2","GBSOU",2022,4,4402.3,"MAR"
"294","DKNAK","3","SEYST",2020,7,7463.98,"MAR"
"295","GHTEM","1","USNNS",2018,7,3874.64,"MAR"
"296","CMDLA","3","DKNAK",2021,3,1928.1,"MAR"
"297","ESSVQ","1","SEYST",2021,11,8564.39,"MAR"
"298","GBSOU","6","GBSOU",2019,1,6016.64,"MAR"
"299","GBLOW","1","ESSVQ",2018,3,1305,"MAR"
"300","ARSPD","2","CRMOB",2021,11,4478.1,"MAR"
"301","USNNS","3","ARSPD",2019,2,4112.3,"MAR"
"302","DOMAN","5","GBSOU",2020,8,2626.34,"MAR"
"303","BEANR","5","GBSSS",2018,7,5318.33,"MAR"
"304","DKNAK","2","DOMAN",2021,1,7279.29,"MAR"
"305","CMDLA","1","GBSOU",2018,10,9360.67,"MAR"
"306","ESSVQ","1","SEYST",2018,11,8077.25,"MAR"
"307","SEYST","6","USNNS",2021,12,4949.67,"MAR"
"308","CMDLA","1","SEYST",2022,4,1158.98,"MAR"
"309","ARSPD","3","DOMAN",2021,5,9498.02,"MAR"
"310","BEANR","2","DKNAK",2018,8,3219.75,"MAR"
"311","GBLOW","6","GBSOU",2022,7,9920.57,"MAR"
"312","ESSVQ","5","CRMOB",2022,7,6148.43,"MAR"
"313","GHTEM","3","GBSSS",2022,3,1437.61,"MAR"
"314","BEANR","1","GBSOU",2022,3,2359.27,"MAR"
"315","DKNAK","3","DKNAK",2019,10,1456.67,"MAR"
"316","DKNAK","6","BEANR",2018,3,3615.36,"MAR"
"317","CMDLA","1","CMDLA",2020,2,3041.06,"MAR"
"318","CIABJ","2","GBLOW",2019,1,693.49,"MAR"
"319","GBSSS","2","USNNS",2022,11,9434.02,"MAR"
"320","CMDLA","6","CIABJ",2019,5,1863.05,"MAR"
"321","DKNAK","9","CMDLA",2021,11,5859.9,"MAR"
"322","DOMAN","6","CMDLA",2018,2,4858.65,"MAR"
"323","GBLOW","6","GBSSS",2022,9,2853.73,"MAR"
"324","GHTEM","3","ARSPD",2019,2,3125.66,"MAR"
"325","USNNS","1","BEANR",2018,8,1445.43,"MAR"
"326","GBSOU","3","GHTEM",2018,4,3344.03,"MAR"
"327","GBSSS","2","ESSVQ",2022,10,1853.39,"MAR"
"328","DOMAN","2","GBSSS",2021,7,7318.2,"MAR"
"329","CMDLA","6","ESSVQ",2022,6,7341.49,"MAR"
"330","BEANR","9","USNNS",2019,4,7353.18,"MAR"
"331","DKNAK","6","COTRB",2018,3,39.63,"MAR"
"332","DOMAN","1","USNNS",2019,11,8173.85,"MAR"
"333","CRMOB","2","GBSSS",2019,12,7211.38,"MAR"
"334","USNNS","3","GHTEM",2019,2,3705.06,"MAR"
"335","DKNAK","1","SEYST",2018,6,8920.23,"MAR"
"336","CIABJ","2","SEYST",2022,11,9799.15,"MAR"
"337","DKNAK","5","GBLOW",2021,8,6459.42,"MAR"
"338","USNNS","1","CRMOB",2018,6,8126.45,"MAR"
"339","GBSSS","9","ARSPD",2018,6,6312.35,"MAR"
"340","ESSVQ","6","ESSVQ",2018,6,1650.87,"MAR"
"341","GBLOW","5","ESSVQ",2021,10,4503.19,"MAR"
"342","DOMAN","3","USNNS",2021,3,154.96,"MAR"
"343","BEANR","2","DKNAK",2020,1,6853.41,"MAR"
"344","BEANR","3","SEYST",2018,10,958.96,"MAR"
"345","GBLOW","5","GHTEM",2022,2,2106.91,"MAR"
"346","BEANR","2","DOMAN",2022,9,2586.4,"MAR"
"347","GBLOW","2","CIABJ",2021,2,2457.95,"MAR"
"348","DOMAN","5","ESSVQ",2019,4,3549.82,"MAR"
"349","CIABJ","3","GBSOU",2018,2,7162.18,"MAR"
"350","BEANR","9","DKNAK",2018,4,5930.3,"MAR"
"351","USNNS","1","CRMOB",2022,7,5313.21,"MAR"
"352","SEYST","1","DKNAK",2022,5,5338.38,"MAR"
"353","GBLOW","6","ESSVQ",2022,10,7653.78,"MAR"
"354","GBLOW","6","USNNS",2021,11,5696.62,"MAR"
"355","DKNAK","3","USNNS",2018,7,6224.88,"MAR"
"356","USNNS","5","DKNAK",2021,4,8987.55,"MAR"
"357","CRMOB","6","CIABJ",2018,5,9845.66,"MAR"
"358","CMDLA","2","CIABJ",2020,3,3140.34,"MAR"
"359","DOMAN","5","GBLOW",2019,3,4546.51,"MAR"
"360","GHTEM","2","BEANR",2021,3,6248.05,"MAR"
"361","DOMAN","3","ARSPD",2022,11,8972.73,"MAR"
"362","GBSOU","2","GHTEM",2018,2,7702.2,"MAR"
"363","GHTEM","3","ESSVQ",2021,5,9092.88,"MAR"
"364","GHTEM","9","USNNS",2021,1,2839.36,"MAR"
"365","GBSOU","1","GBSOU",2021,9,7601.19,"MAR"
"366","CRMOB","9","GHTEM",2019,6,8471.57,"MAR"
"367","SEYST","9","GBSOU",2019,6,1225.61,"MAR"
"368","ESSVQ","2","BEANR",2018,2,8555.2,"MAR"
"369","COTRB","2","GBSSS",2022,9,2389.67,"MAR"
"370","COTRB","9","CIABJ",2021,2,9841.93,"MAR"
"371","SEYST","2","ESSVQ",2018,12,1845.35,"MAR"
"372","DOMAN","6","USNNS",2019,6,6701.47,"MAR"
"373","GBSSS","3","DOMAN",2019,2,4543.17,"MAR"
"374","SEYST","5","DKNAK",2021,12,4073.46,"MAR"
"375","USNNS","2","GBSSS",2019,3,8454.71,"MAR"
"376","GBLOW","9","SEYST",2021,11,5943.48,"MAR"
"377","USNNS","1","DKNAK",2021,3,3078.07,"MAR"
"378","GBSSS","2","BEANR",2021,3,7400.34,"MAR"
"379","SEYST","1","USNNS",2018,11,7116.07,"MAR"
"380","CMDLA","3","USNNS",2021,2,3483.01,"MAR"
"381","DOMAN","1","SEYST",2021,9,1586.72,"MAR"
"382","GBSSS","9","ESSVQ",2021,10,3834.35,"MAR"
"383","ARSPD","5","GBLOW",2020,9,3663.36,"MAR"
"384","USNNS","3","DKNAK",2022,5,8336.62,"MAR"
"385","ARSPD","9","DOMAN",2022,10,6562.2,"MAR"
"386","CMDLA","2","BEANR",2021,7,3128.09,"MAR"
"387","ESSVQ","6","GBLOW",2022,10,1327.81,"MAR"
"388","GBLOW","5","GHTEM",2019,5,2423.56,"MAR"
"389","GBSOU","2","GHTEM",2019,9,2824.31,"MAR"
"390","GHTEM","2","GBSSS",2019,1,7247.64,"MAR"
"391","CRMOB","1","ESSVQ",2019,7,8900.35,"MAR"
"392","CMDLA","9","ESSVQ",2020,5,6585.07,"MAR"
"393","CRMOB","6","ARSPD",2018,5,7842.34,"MAR"
"394","DOMAN","2","ARSPD",2018,8,2979.09,"MAR"
"395","DOMAN","1","COTRB",2020,11,1878.4,"MAR"
"396","COTRB","9","GBSOU",2022,3,4203.49,"MAR"
"397","GBSSS","6","GHTEM",2019,12,4880.86,"MAR"
"398","DOMAN","2","GBSSS",2020,10,294.71,"MAR"
"399","DKNAK","5","CMDLA",2018,10,8096.72,"MAR"
"400","COTRB","6","DKNAK",2022,10,8888.95,"MAR"
"401","BEANR","9","CMDLA",2018,11,1219.52,"MAR"
"402","SEYST","9","CMDLA",2021,5,7869.12,"MAR"
"403","CRMOB","2","SEYST",2018,9,5659.21,"MAR"
"404","GBLOW","5","GBLOW",2018,9,5736.72,"MAR"
"405","DKNAK","5","DOMAN",2022,12,2234.18,"MAR"
"406","BEANR","1","GHTEM",2022,3,3205.1,"MAR"
"407","USNNS","6","GHTEM",2018,6,5533.53,"MAR"
"408","CRMOB","5","CRMOB",2020,6,8543.41,"MAR"
"409","ARSPD","5","GHTEM",2022,1,324.89,"MAR"
"410","SEYST","1","DOMAN",2019,11,3671.85,"MAR"
"411","ARSPD","5","CIABJ",2022,7,6324.74,"MAR"
"412","CMDLA","1","GHTEM",2018,7,1534.66,"MAR"
"413","GBLOW","6","GBSOU",2020,6,3816.97,"MAR"
"414","USNNS","6","GBSOU",2022,3,3982.85,"MAR"
"415","GBSOU","9","GBLOW",2021,5,7094.21,"MAR"
"416","SEYST","5","GHTEM",2022,6,8174.77,"MAR"
"417","SEYST","5","BEANR",2020,7,7129.3,"MAR"
"418","CMDLA","6","DKNAK",2019,1,6057.08,"MAR"
"419","GBLOW","6","SEYST",2020,5,1436.56,"MAR"
"420","BEANR","6","CIABJ",2021,6,4219.78,"MAR"
"421","GBSOU","2","DOMAN",2022,12,5006.05,"MAR"
"422","GHTEM","3","COTRB",2021,9,9062.62,"MAR"
"423","CIABJ","9","CMDLA",2019,4,4975.7,"MAR"
"424","GHTEM","1","BEANR",2019,11,6772.17,"MAR"
"425","GHTEM","3","ARSPD",2020,4,378.49,"MAR"
"426","DOMAN","9","GHTEM",2020,6,2143.11,"MAR"
"427","ESSVQ","9","CMDLA",2022,5,8722.05,"MAR"
