"label","date","Type","id","color","size","value","group1","DegreeConnections"
"ESSVQ",2018-07-01,"All",189,"blue",30,3822,"ES",2
"DKNAK",2018-07-01,"All",34,"blue",30,3274,"DK",9
"GBSOU",2018-07-01,"All",67,"red",30,595,"GB",8
"GBSSS",2018-07-01,"All",161,"red",30,5095,"GB",5
"CIABJ",2018-07-01,"All",42,"red",30,4193,"CI",9
"CMDLA",2018-07-01,"All",122,"red",30,5558,"CM",8
"GHTEM",2018-07-01,"All",189,"red",30,2816,"GH",15
"COTRB",2018-07-01,"All",118,"red",30,1221,"CO",2
"CRMOB",2018-07-01,"All",129,"blue",30,42,"CR",12
"DOMAN",2018-07-01,"All",60,"blue",30,6653,"DO",8
"ARSPD",2018-07-01,"All",112,"blue",30,7664,"AR",1
"USNNS",2018-07-01,"All",98,"blue",30,9465,"US",4
"BEANR",2018-08-01,"All",55,"blue",30,4062,"BE",14
"GBLOW",2018-08-01,"All",56,"red",30,1269,"GB",20
"SEYST",2018-08-01,"All",79,"red",30,5044,"SE",13
"ESSVQ",2018-08-01,"All",103,"red",30,515,"ES",9
"DKNAK",2018-08-01,"All",190,"red",30,1124,"DK",9
"GBSOU",2018-08-01,"All",169,"blue",30,9414,"GB",9
"GBSSS",2018-08-01,"All",163,"red",30,9379,"GB",1
"CIABJ",2018-08-01,"All",169,"red",30,9775,"CI",14
"CMDLA",2018-08-01,"All",90,"red",30,3022,"CM",5
"GHTEM",2018-08-01,"All",26,"blue",30,5907,"GH",12
"COTRB",2018-08-01,"All",145,"blue",30,7422,"CO",17
"CRMOB",2018-08-01,"All",20,"blue",30,991,"CR",18
"DOMAN",2018-08-01,"All",165,"red",30,6127,"DO",12
"ARSPD",2018-08-01,"All",87,"blue",30,3820,"AR",11
"USNNS",2018-08-01,"All",32,"blue",30,3626,"US",6
"BEANR",2018-09-01,"All",112,"red",30,9566,"BE",7
"GBLOW",2018-09-01,"All",183,"red",30,9442,"GB",2
"SEYST",2018-09-01,"All",118,"red",30,1580,"SE",7
"ESSVQ",2018-09-01,"All",197,"red",30,8138,"ES",15
"DKNAK",2018-09-01,"All",160,"red",30,9674,"DK",3
"GBSOU",2018-09-01,"All",103,"red",30,9040,"GB",6
"GBSSS",2018-09-01,"All",120,"blue",30,2950,"GB",8
"CIABJ",2018-09-01,"All",121,"blue",30,9056,"CI",1
"CMDLA",2018-09-01,"All",80,"red",30,3507,"CM",3
"GHTEM",2018-09-01,"All",87,"red",30,8165,"GH",12
"COTRB",2018-09-01,"All",106,"red",30,4724,"CO",5
"CRMOB",2018-09-01,"All",108,"blue",30,1012,"CR",18
"DOMAN",2018-09-01,"All",200,"red",30,8496,"DO",5
"ARSPD",2018-09-01,"All",63,"blue",30,1143,"AR",9
"USNNS",2018-09-01,"All",172,"blue",30,2005,"US",20
"BEANR",2018-10-01,"All",69,"red",30,8470,"BE",7
"GBLOW",2018-10-01,"All",166,"red",30,961,"GB",4
"SEYST",2018-10-01,"All",47,"blue",30,3931,"SE",16
"ESSVQ",2018-10-01,"All",131,"blue",30,984,"ES",7
"DKNAK",2018-10-01,"All",103,"blue",30,585,"DK",16
"GBSOU",2018-10-01,"All",178,"red",30,9796,"GB",6
"GBSSS",2018-10-01,"All",98,"blue",30,1701,"GB",4
"CIABJ",2018-10-01,"All",58,"blue",30,3446,"CI",5
"CMDLA",2018-10-01,"All",9,"blue",30,6060,"CM",14
"GHTEM",2018-10-01,"All",53,"red",30,9707,"GH",16
"COTRB",2018-10-01,"All",94,"red",30,906,"CO",13
"CRMOB",2018-10-01,"All",45,"blue",30,8864,"CR",11
"DOMAN",2018-10-01,"All",151,"blue",30,5651,"DO",3
"ARSPD",2018-10-01,"All",156,"red",30,666,"AR",15
"USNNS",2018-10-01,"All",29,"blue",30,9582,"US",5
"BEANR",2018-11-01,"All",39,"blue",30,7502,"BE",12
"GBLOW",2018-11-01,"All",56,"blue",30,6336,"GB",4
"SEYST",2018-11-01,"All",108,"blue",30,6045,"SE",2
"ESSVQ",2018-11-01,"All",100,"red",30,1102,"ES",17
"DKNAK",2018-11-01,"All",133,"red",30,8121,"DK",15
"GBSOU",2018-11-01,"All",8,"blue",30,7679,"GB",15
"GBSSS",2018-11-01,"All",28,"blue",30,7103,"GB",2
"CIABJ",2018-11-01,"All",62,"blue",30,520,"CI",14
"CMDLA",2018-11-01,"All",118,"red",30,6495,"CM",14
"GHTEM",2018-11-01,"All",105,"red",30,6067,"GH",8
"COTRB",2018-11-01,"All",4,"blue",30,7363,"CO",3
"CRMOB",2018-11-01,"All",71,"blue",30,1891,"CR",8
"DOMAN",2018-11-01,"All",195,"blue",30,4638,"DO",13
"ARSPD",2018-11-01,"All",15,"blue",30,7527,"AR",5
"USNNS",2018-11-01,"All",12,"blue",30,2388,"US",18
"BEANR",2018-12-01,"All",110,"blue",30,3885,"BE",3
"GBLOW",2018-12-01,"All",187,"blue",30,1347,"GB",3
"SEYST",2018-12-01,"All",15,"red",30,928,"SE",4
"ESSVQ",2018-12-01,"All",129,"blue",30,6677,"ES",19
"DKNAK",2018-12-01,"All",200,"blue",30,8747,"DK",8
"GBSOU",2018-12-01,"All",35,"blue",30,6694,"GB",18
"GBSSS",2018-12-01,"All",93,"blue",30,1105,"GB",20
"CIABJ",2018-12-01,"All",145,"red",30,7512,"CI",14
"CMDLA",2018-12-01,"All",110,"red",30,6805,"CM",2
"GHTEM",2018-12-01,"All",109,"blue",30,6101,"GH",18
"COTRB",2018-12-01,"All",48,"blue",30,7940,"CO",5
"CRMOB",2018-12-01,"All",1,"red",30,1456,"CR",13
"DOMAN",2018-12-01,"All",69,"blue",30,9277,"DO",9
"ARSPD",2018-12-01,"All",181,"red",30,7493,"AR",12
"USNNS",2018-12-01,"All",10,"blue",30,2093,"US",3
"BEANR",2019-01-01,"All",33,"red",30,2397,"BE",7
"GBLOW",2019-01-01,"All",14,"blue",30,4695,"GB",14
"SEYST",2019-01-01,"All",191,"red",30,400,"SE",16
"ESSVQ",2019-01-01,"All",70,"red",30,5561,"ES",17
"DKNAK",2019-01-01,"All",91,"blue",30,5192,"DK",17
"GBSOU",2019-01-01,"All",176,"red",30,6175,"GB",20
"GBSSS",2019-01-01,"All",181,"blue",30,9890,"GB",10
"CIABJ",2019-01-01,"All",191,"blue",30,5039,"CI",9
"CMDLA",2019-01-01,"All",139,"red",30,6781,"CM",6
"GHTEM",2019-01-01,"All",8,"blue",30,1321,"GH",7
"COTRB",2019-01-01,"All",71,"red",30,2072,"CO",14
"CRMOB",2019-01-01,"All",114,"blue",30,4403,"CR",4
"DOMAN",2019-01-01,"All",178,"red",30,9653,"DO",11
"ARSPD",2019-01-01,"All",149,"blue",30,9974,"AR",6
"USNNS",2019-01-01,"All",150,"blue",30,426,"US",18
"BEANR",2019-02-01,"All",31,"red",30,9213,"BE",9
"GBLOW",2019-02-01,"All",152,"blue",30,6308,"GB",1
"SEYST",2019-02-01,"All",170,"blue",30,6352,"SE",16
"ESSVQ",2019-02-01,"All",122,"blue",30,4479,"ES",18
"DKNAK",2019-02-01,"All",89,"red",30,3911,"DK",5
"GBSOU",2019-02-01,"All",102,"blue",30,9442,"GB",13
"GBSSS",2019-02-01,"All",75,"blue",30,8362,"GB",20
"CIABJ",2019-02-01,"All",177,"red",30,6155,"CI",5
"CMDLA",2019-02-01,"All",176,"red",30,5640,"CM",12
"GHTEM",2019-02-01,"All",189,"red",30,1481,"GH",8
"COTRB",2019-02-01,"All",177,"red",30,1598,"CO",18
"CRMOB",2019-02-01,"All",94,"red",30,8206,"CR",8
"DOMAN",2019-02-01,"All",163,"blue",30,2361,"DO",9
"ARSPD",2019-02-01,"All",22,"blue",30,4309,"AR",19
"USNNS",2019-02-01,"All",145,"blue",30,1250,"US",2
"BEANR",2019-03-01,"All",4,"red",30,1368,"BE",7
"GBLOW",2019-03-01,"All",183,"red",30,9436,"GB",17
"SEYST",2019-03-01,"All",114,"blue",30,1878,"SE",2
"ESSVQ",2019-03-01,"All",124,"red",30,7781,"ES",20
"DKNAK",2019-03-01,"All",97,"blue",30,9533,"DK",14
"GBSOU",2019-03-01,"All",195,"blue",30,5711,"GB",8
"GBSSS",2019-03-01,"All",61,"blue",30,8264,"GB",5
"CIABJ",2019-03-01,"All",146,"red",30,2517,"CI",2
"CMDLA",2019-03-01,"All",122,"red",30,3315,"CM",2
"GHTEM",2019-03-01,"All",80,"blue",30,756,"GH",13
"COTRB",2019-03-01,"All",148,"blue",30,7519,"CO",19
"CRMOB",2019-03-01,"All",23,"red",30,7416,"CR",2
"DOMAN",2019-03-01,"All",166,"blue",30,480,"DO",6
"ARSPD",2019-03-01,"All",183,"red",30,7964,"AR",2
"USNNS",2019-03-01,"All",32,"blue",30,3615,"US",18
"BEANR",2019-04-01,"All",33,"red",30,2004,"BE",16
"GBLOW",2019-04-01,"All",94,"blue",30,3391,"GB",18
"SEYST",2019-04-01,"All",66,"red",30,7169,"SE",2
"ESSVQ",2019-04-01,"All",61,"blue",30,5885,"ES",4
"DKNAK",2019-04-01,"All",5,"blue",30,7331,"DK",6
"GBSOU",2019-04-01,"All",26,"blue",30,9477,"GB",15
"GBSSS",2019-04-01,"All",196,"blue",30,8458,"GB",13
"CIABJ",2019-04-01,"All",82,"red",30,4444,"CI",14
"CMDLA",2019-04-01,"All",198,"blue",30,7368,"CM",19
"GHTEM",2019-04-01,"All",140,"blue",30,3323,"GH",10
"COTRB",2019-04-01,"All",90,"blue",30,9214,"CO",8
"CRMOB",2019-04-01,"All",49,"red",30,9801,"CR",20
"DOMAN",2019-04-01,"All",79,"blue",30,5753,"DO",12
"ARSPD",2019-04-01,"All",47,"red",30,1477,"AR",17
"USNNS",2019-04-01,"All",192,"blue",30,4424,"US",1
"BEANR",2019-05-01,"All",14,"red",30,2260,"BE",4
"GBLOW",2019-05-01,"All",187,"red",30,8012,"GB",2
"SEYST",2019-05-01,"All",4,"blue",30,7060,"SE",5
"ESSVQ",2019-05-01,"All",151,"blue",30,3984,"ES",3
"DKNAK",2019-05-01,"All",121,"blue",30,9563,"DK",8
"GBSOU",2019-05-01,"All",172,"red",30,2619,"GB",5
"GBSSS",2019-05-01,"All",101,"red",30,7814,"GB",18
"CIABJ",2019-05-01,"All",109,"blue",30,3850,"CI",17
"CMDLA",2019-05-01,"All",79,"red",30,9269,"CM",8
"GHTEM",2019-05-01,"All",152,"red",30,6664,"GH",7
"COTRB",2019-05-01,"All",89,"blue",30,4583,"CO",12
"CRMOB",2019-05-01,"All",81,"blue",30,2496,"CR",2
"DOMAN",2019-05-01,"All",160,"red",30,6659,"DO",8
"ARSPD",2019-05-01,"All",93,"blue",30,7504,"AR",12
"USNNS",2019-05-01,"All",44,"blue",30,1251,"US",6
"BEANR",2019-06-01,"All",176,"red",30,7962,"BE",9
"GBLOW",2019-06-01,"All",183,"blue",30,2106,"GB",8
"SEYST",2019-06-01,"All",59,"blue",30,4155,"SE",11
"ESSVQ",2019-06-01,"All",37,"red",30,843,"ES",13
"DKNAK",2019-06-01,"All",175,"red",30,7211,"DK",12
"GBSOU",2019-06-01,"All",120,"red",30,2830,"GB",14
"GBSSS",2019-06-01,"All",63,"red",30,6665,"GB",9
"CIABJ",2019-06-01,"All",81,"blue",30,9925,"CI",6
"CMDLA",2019-06-01,"All",78,"red",30,2439,"CM",18
"GHTEM",2019-06-01,"All",100,"blue",30,179,"GH",6
"COTRB",2019-06-01,"All",95,"red",30,7843,"CO",11
"CRMOB",2019-06-01,"All",195,"red",30,4648,"CR",9
"DOMAN",2019-06-01,"All",178,"red",30,7477,"DO",13
"ARSPD",2019-06-01,"All",187,"red",30,9115,"AR",3
"USNNS",2019-06-01,"All",4,"blue",30,7599,"US",16
"BEANR",2019-07-01,"All",1,"blue",30,8982,"BE",1
"GBLOW",2019-07-01,"All",191,"blue",30,8240,"GB",4
"SEYST",2019-07-01,"All",190,"red",30,7277,"SE",13
"ESSVQ",2019-07-01,"All",72,"red",30,9238,"ES",17
"DKNAK",2019-07-01,"All",107,"red",30,2732,"DK",17
"GBSOU",2019-07-01,"All",138,"blue",30,8530,"GB",7
"GBSSS",2019-07-01,"All",82,"red",30,4190,"GB",13
"CIABJ",2019-07-01,"All",178,"red",30,2630,"CI",1
"CMDLA",2019-07-01,"All",86,"blue",30,4383,"CM",5
"GHTEM",2019-07-01,"All",65,"red",30,5626,"GH",8
"COTRB",2019-07-01,"All",181,"blue",30,1289,"CO",15
"CRMOB",2019-07-01,"All",160,"red",30,7850,"CR",8
"DOMAN",2019-07-01,"All",17,"red",30,8846,"DO",18
"ARSPD",2019-07-01,"All",16,"blue",30,4506,"AR",20
"USNNS",2019-07-01,"All",141,"red",30,2241,"US",19
"BEANR",2019-08-01,"All",171,"red",30,2284,"BE",13
"GBLOW",2019-08-01,"All",147,"red",30,7921,"GB",18
"SEYST",2019-08-01,"All",110,"blue",30,3333,"SE",10
"ESSVQ",2019-08-01,"All",44,"blue",30,9690,"ES",8
"DKNAK",2019-08-01,"All",145,"blue",30,6632,"DK",3
"GBSOU",2019-08-01,"All",39,"red",30,2526,"GB",11
"GBSSS",2019-08-01,"All",199,"blue",30,8391,"GB",4
"CIABJ",2019-08-01,"All",103,"blue",30,5080,"CI",7
"CMDLA",2019-08-01,"All",142,"blue",30,3681,"CM",4
"GHTEM",2019-08-01,"All",101,"red",30,5886,"GH",18
"COTRB",2019-08-01,"All",183,"blue",30,8520,"CO",20
"CRMOB",2019-08-01,"All",124,"red",30,6479,"CR",15
"DOMAN",2019-08-01,"All",13,"blue",30,7427,"DO",17
"ARSPD",2019-08-01,"All",89,"red",30,4104,"AR",13
"USNNS",2019-08-01,"All",145,"red",30,4423,"US",7
"BEANR",2019-09-01,"All",32,"red",30,6460,"BE",4
"GBLOW",2019-09-01,"All",164,"red",30,156,"GB",20
"SEYST",2019-09-01,"All",194,"blue",30,3019,"SE",13
"ESSVQ",2019-09-01,"All",163,"blue",30,3223,"ES",17
"DKNAK",2019-09-01,"All",72,"red",30,9677,"DK",12
"GBSOU",2019-09-01,"All",168,"blue",30,9695,"GB",14
"GBSSS",2019-09-01,"All",149,"blue",30,7265,"GB",4
"CIABJ",2019-09-01,"All",8,"red",30,3089,"CI",16
"CMDLA",2019-09-01,"All",141,"blue",30,218,"CM",6
"GHTEM",2019-09-01,"All",176,"red",30,2880,"GH",11
"COTRB",2019-09-01,"All",188,"red",30,9114,"CO",5
"CRMOB",2019-09-01,"All",17,"red",30,3353,"CR",9
"DOMAN",2019-09-01,"All",73,"blue",30,1149,"DO",2
"ARSPD",2019-09-01,"All",15,"red",30,3166,"AR",5
"USNNS",2019-09-01,"All",141,"red",30,1439,"US",19
"BEANR",2019-10-01,"All",84,"red",30,9720,"BE",3
"GBLOW",2019-10-01,"All",77,"blue",30,2771,"GB",14
"SEYST",2019-10-01,"All",50,"red",30,2403,"SE",5
"ESSVQ",2019-10-01,"All",35,"blue",30,5233,"ES",9
"DKNAK",2019-10-01,"All",91,"red",30,7118,"DK",14
"GBSOU",2019-10-01,"All",125,"blue",30,6762,"GB",3
"GBSSS",2019-10-01,"All",172,"red",30,1521,"GB",10
"CIABJ",2019-10-01,"All",173,"red",30,6505,"CI",9
"CMDLA",2019-10-01,"All",94,"red",30,7471,"CM",2
"GHTEM",2019-10-01,"All",68,"blue",30,6509,"GH",11
"COTRB",2019-10-01,"All",43,"red",30,7469,"CO",8
"CRMOB",2019-10-01,"All",189,"red",30,1577,"CR",8
"DOMAN",2019-10-01,"All",52,"blue",30,969,"DO",4
"ARSPD",2019-10-01,"All",126,"blue",30,1224,"AR",6
"USNNS",2019-10-01,"All",86,"blue",30,1202,"US",6
"BEANR",2019-11-01,"All",141,"blue",30,4538,"BE",1
"GBLOW",2019-11-01,"All",200,"red",30,7897,"GB",8
"SEYST",2019-11-01,"All",86,"blue",30,8869,"SE",7
"ESSVQ",2019-11-01,"All",37,"red",30,8100,"ES",11
"DKNAK",2019-11-01,"All",191,"red",30,9973,"DK",10
"GBSOU",2019-11-01,"All",74,"blue",30,1538,"GB",19
"GBSSS",2019-11-01,"All",138,"blue",30,5097,"GB",19
"CIABJ",2019-11-01,"All",130,"red",30,8320,"CI",10
"CMDLA",2019-11-01,"All",52,"blue",30,2582,"CM",17
"GHTEM",2019-11-01,"All",159,"red",30,9137,"GH",1
"COTRB",2019-11-01,"All",175,"blue",30,2096,"CO",12
"CRMOB",2019-11-01,"All",27,"red",30,5246,"CR",10
"DOMAN",2019-11-01,"All",23,"blue",30,2593,"DO",4
"ARSPD",2019-11-01,"All",177,"blue",30,1964,"AR",5
"USNNS",2019-11-01,"All",98,"red",30,7325,"US",4
"BEANR",2019-12-01,"All",6,"red",30,212,"BE",16
"GBLOW",2019-12-01,"All",48,"blue",30,6226,"GB",19
"SEYST",2019-12-01,"All",23,"blue",30,2699,"SE",10
"ESSVQ",2019-12-01,"All",127,"red",30,7759,"ES",15
"DKNAK",2019-12-01,"All",79,"blue",30,5293,"DK",4
"GBSOU",2019-12-01,"All",5,"red",30,2530,"GB",13
"GBSSS",2019-12-01,"All",165,"red",30,6802,"GB",12
"CIABJ",2019-12-01,"All",17,"red",30,3823,"CI",15
"CMDLA",2019-12-01,"All",12,"red",30,4307,"CM",9
"GHTEM",2019-12-01,"All",121,"red",30,4995,"GH",18
"COTRB",2019-12-01,"All",37,"red",30,6124,"CO",11
"CRMOB",2019-12-01,"All",120,"red",30,4601,"CR",1
"DOMAN",2019-12-01,"All",7,"red",30,6060,"DO",8
"ARSPD",2019-12-01,"All",18,"red",30,7183,"AR",19
"USNNS",2019-12-01,"All",145,"red",30,5796,"US",1
"BEANR",2020-01-01,"All",70,"red",30,4523,"BE",17
"GBLOW",2020-01-01,"All",184,"blue",30,3689,"GB",20
"SEYST",2020-01-01,"All",179,"red",30,249,"SE",6
"ESSVQ",2020-01-01,"All",35,"blue",30,3711,"ES",15
"DKNAK",2020-01-01,"All",179,"red",30,1872,"DK",9
"GBSOU",2020-01-01,"All",103,"blue",30,8428,"GB",2
"GBSSS",2020-01-01,"All",156,"red",30,5172,"GB",12
"CIABJ",2020-01-01,"All",26,"red",30,4632,"CI",6
"CMDLA",2020-01-01,"All",108,"red",30,7527,"CM",2
"GHTEM",2020-01-01,"All",187,"blue",30,6002,"GH",20
"COTRB",2020-01-01,"All",27,"red",30,3366,"CO",2
"CRMOB",2020-01-01,"All",88,"red",30,1033,"CR",5
"DOMAN",2020-01-01,"All",106,"red",30,7312,"DO",2
"ARSPD",2020-01-01,"All",184,"blue",30,7582,"AR",15
"USNNS",2020-01-01,"All",129,"blue",30,5904,"US",19
"BEANR",2020-02-01,"All",12,"blue",30,9970,"BE",17
"GBLOW",2020-02-01,"All",4,"red",30,1326,"GB",18
"SEYST",2020-02-01,"All",73,"red",30,5872,"SE",15
"ESSVQ",2020-02-01,"All",14,"red",30,4219,"ES",5
"DKNAK",2020-02-01,"All",181,"red",30,1348,"DK",20
"GBSOU",2020-02-01,"All",136,"red",30,9619,"GB",18
"GBSSS",2020-02-01,"All",172,"red",30,421,"GB",14
"CIABJ",2020-02-01,"All",48,"red",30,9644,"CI",4
"CMDLA",2020-02-01,"All",24,"red",30,1152,"CM",13
"GHTEM",2020-02-01,"All",129,"blue",30,5437,"GH",16
"COTRB",2020-02-01,"All",107,"red",30,4915,"CO",12
"CRMOB",2020-02-01,"All",33,"red",30,206,"CR",9
"DOMAN",2020-02-01,"All",133,"blue",30,7583,"DO",8
"ARSPD",2020-02-01,"All",6,"blue",30,9939,"AR",9
"USNNS",2020-02-01,"All",147,"red",30,3091,"US",14
"BEANR",2020-03-01,"All",124,"blue",30,8309,"BE",9
"GBLOW",2020-03-01,"All",52,"red",30,3607,"GB",19
"SEYST",2020-03-01,"All",128,"blue",30,9398,"SE",19
"ESSVQ",2020-03-01,"All",71,"blue",30,1945,"ES",1
"DKNAK",2020-03-01,"All",139,"blue",30,2037,"DK",4
"GBSOU",2020-03-01,"All",94,"blue",30,2511,"GB",9
"GBSSS",2020-03-01,"All",135,"red",30,7437,"GB",10
"CIABJ",2020-03-01,"All",131,"blue",30,2618,"CI",9
"CMDLA",2020-03-01,"All",139,"blue",30,4258,"CM",16
"GHTEM",2020-03-01,"All",90,"blue",30,2614,"GH",5
"COTRB",2020-03-01,"All",111,"red",30,9901,"CO",9
"CRMOB",2020-03-01,"All",20,"blue",30,4457,"CR",8
"DOMAN",2020-03-01,"All",120,"red",30,6311,"DO",2
"ARSPD",2020-03-01,"All",19,"blue",30,86,"AR",2
"USNNS",2020-03-01,"All",25,"blue",30,1680,"US",19
"BEANR",2020-04-01,"All",15,"red",30,8341,"BE",12
"GBLOW",2020-04-01,"All",31,"blue",30,6315,"GB",12
"SEYST",2020-04-01,"All",62,"blue",30,3880,"SE",17
"ESSVQ",2020-04-01,"All",59,"blue",30,1954,"ES",14
"DKNAK",2020-04-01,"All",167,"blue",30,1759,"DK",13
"GBSOU",2020-04-01,"All",22,"blue",30,1978,"GB",9
"GBSSS",2020-04-01,"All",22,"red",30,9224,"GB",13
"CIABJ",2020-04-01,"All",102,"blue",30,6740,"CI",10
"CMDLA",2020-04-01,"All",193,"red",30,6055,"CM",1
"GHTEM",2020-04-01,"All",54,"blue",30,9502,"GH",3
"COTRB",2020-04-01,"All",170,"red",30,21,"CO",12
"CRMOB",2020-04-01,"All",71,"red",30,4352,"CR",4
"DOMAN",2020-04-01,"All",163,"red",30,7895,"DO",9
"ARSPD",2020-04-01,"All",100,"red",30,9290,"AR",16
"USNNS",2020-04-01,"All",36,"red",30,4984,"US",10
